Id;Nombre;PVP;PVP_Unidad_Medida;Cantidad_Neta;URL_Producto;URL_Imagen;UltActualizacion
7877010;Puerros manojo 3 piezas categoría 1ª (peso...;1,65 €;3,67 € / el kilo;0;https://www.gadisline.com/producto/?productID=7877010;https://www.gadisline.com/resources/images/7877010_F_001.jpg;02/11/2019 14:25:11
7888504;Sopa juliana bandeja 400 grs.;1,49 €;3,72 € / el kilo;0;https://www.gadisline.com/producto/?productID=7888504;https://www.gadisline.com/resources/images/7888504_F_001.jpg;02/11/2019 14:25:11
7819050;Surtido verduras bandeja (peso mínimo 1 kg.)...;1,60 €;1,60 € / el kilo;0;https://www.gadisline.com/producto/?productID=7819050;https://www.gadisline.com/resources/images/7819050_F_001.jpg;02/11/2019 14:25:11
7817039;Cebolla categoría 1ª calibre 5/6 (60/80 mm) kilo;0,62 €;0,62 €;0;https://www.gadisline.com/producto/?productID=7817039;https://www.gadisline.com/resources/images/7817039_F_001.jpg;02/11/2019 14:25:11
7817136;Cebolla categoría 1ª calibre 50/70 mm.malla 1...;1,50 €;1,50 € / el kilo;0;https://www.gadisline.com/producto/?productID=7817136;https://www.gadisline.com/resources/images/7817136_F_001.jpg;02/11/2019 14:25:12
7817090;Cebolla categoría 1ª calibre 60/80mm malla 2 kg.;1,69 €;0,85 € / el kilo;0;https://www.gadisline.com/producto/?productID=7817090;https://www.gadisline.com/resources/images/7817090_F_001.jpg;02/11/2019 14:25:12
7817012;Cebolla chalote calibre 30/40mm malla  250 grs.;0,90 €;3,60 € / el kilo;0;https://www.gadisline.com/producto/?productID=7817012;https://www.gadisline.com/resources/images/7817012_F_001.jpg;02/11/2019 14:25:12
7817010;Cebolla chata 1ª calibre 65/100 mm. kilo;1,35 €;1,35 €;0;https://www.gadisline.com/producto/?productID=7817010;https://www.gadisline.com/resources/images/7817010_F_001.jpg;02/11/2019 14:25:12
7817081;Cebolla dulce c-70/90mm (3 piezas) bandeja 700...;2,10 €;3,00 € / el kilo;0;https://www.gadisline.com/producto/?productID=7817081;https://www.gadisline.com/resources/images/7817081_F_001.jpg;02/11/2019 14:25:12
7817087;Cebolla dulce calibre 75/105 mm. kilo;1,99 €;1,99 €;0;https://www.gadisline.com/producto/?productID=7817087;https://www.gadisline.com/resources/images/7817087_F_001.jpg;02/11/2019 14:25:12
7817910;Cebolla fresca manojo 1ª (3 piezas) peso mínimo...;1,15 €;4,60 € / el kilo;0;https://www.gadisline.com/producto/?productID=7817910;https://www.gadisline.com/resources/images/7817910_F_001.jpg;02/11/2019 14:25:12
7817078;Cebolla morada butti 1ª 3/4 piezas 500 GRS.;0,55 €;1,10 € / el kilo;0;https://www.gadisline.com/producto/?productID=7817078;https://www.gadisline.com/resources/images/7817078_F_001.jpg;02/11/2019 14:25:12
7817034;Cebolla redonda 1ª butti 4 undidades-1 kg) unidad;0,75 €;0,75 € / el kilo;0;https://www.gadisline.com/producto/?productID=7817034;https://www.gadisline.com/resources/images/7817034_F_001.jpg;02/11/2019 14:25:12
7837034;Cebolla roja categoría 1ª calibre 60/90 mm. kilo;0,85 €;0,85 €;0;https://www.gadisline.com/producto/?productID=7837034;https://www.gadisline.com/resources/images/7837034_F_001.jpg;02/11/2019 14:25:13
7854010;Maíz dulce 2 mazorcas bolsa 450 grs.;1,09 €;2,42 € / el kilo;0;https://www.gadisline.com/producto/?productID=7854010;https://www.gadisline.com/resources/images/7854010_F_001.jpg;02/11/2019 14:25:13
7854098;Maíz fresco 2 mazorcas bolsa 400 grs.;1,55 €;3,88 € / el kilo;0;https://www.gadisline.com/producto/?productID=7854098;https://www.gadisline.com/resources/images/7854098_F_001.jpg;02/11/2019 14:25:13
7856982;Picatostes integrales FLORETTE bolsa 55 grs.;1,00 €;18,18 € / el kilo;0;https://www.gadisline.com/producto/?productID=7856982;https://www.gadisline.com/resources/images/7856982_F_001.jpg;02/11/2019 14:25:13
7856990;Sopa campesina deshidratada TREVIJANO 100 grs.;2,43 €;24,30 € / el kilo;0;https://www.gadisline.com/producto/?productID=7856990;https://www.gadisline.com/resources/images/7856990_F_001.jpg;02/11/2019 14:25:13
9886816;Sopa juliana deshidratada TREVIJANO 100 grs.;1,89 €;18,90 € / el kilo;0;https://www.gadisline.com/producto/?productID=9886816;https://www.gadisline.com/resources/images/9886816_F_001.jpg;02/11/2019 14:25:13
7894223;Sopa quinoa TREVIJANO bandeja 200 grs.;2,99 €;14,95 € / el kilo;0;https://www.gadisline.com/producto/?productID=7894223;https://www.gadisline.com/resources/images/7894223_F_001.jpg;02/11/2019 14:25:13
7894211;Tomate deshidratado TREVIJANO bandeja 70 grs.;2,79 €;39,86 € / el kilo;0;https://www.gadisline.com/producto/?productID=7894211;https://www.gadisline.com/resources/images/7894211_F_001.jpg;02/11/2019 14:25:13
7827110;Cogollos bandeja 3 piezas;1,09 €;3,11 € / el kilo;0;https://www.gadisline.com/producto/?productID=7827110;https://www.gadisline.com/resources/images/7827110_F_001.jpg;02/11/2019 14:25:14
7853098;Corazones de cogollos bolsa 6 piezas;2,25 €;6,43 € / el kilo;0;https://www.gadisline.com/producto/?productID=7853098;https://www.gadisline.com/resources/images/7853098_F_001.jpg;02/11/2019 14:25:14
7853097;Corazones de lechuga romana bolsa 2 piezas;1,60 €;3,20 € / el kilo;0;https://www.gadisline.com/producto/?productID=7853097;https://www.gadisline.com/resources/images/7853097_F_001.jpg;02/11/2019 14:25:14
7837016;Lechuga hoja roble 1ª peso minimo 200 grs.;1,09 €;5,45 € / el kilo;0;https://www.gadisline.com/producto/?productID=7837016;https://www.gadisline.com/resources/images/7837016_F_001.jpg;02/11/2019 14:25:14
7853030;Lechuga iceberg C-10 (peso mínimo 350 grs.)...;1,05 €;3,00 € / el kilo;0;https://www.gadisline.com/producto/?productID=7853030;https://www.gadisline.com/resources/images/7853030_F_001.jpg;02/11/2019 14:25:14
7853010;Lechuga lisa unidad 1ª (peso mínimo 250 grs.);0,75 €;3,00 € / el kilo;0;https://www.gadisline.com/producto/?productID=7853010;https://www.gadisline.com/resources/images/7853010_F_001.jpg;02/11/2019 14:25:14
7853050;Lechuga rizada 1ª (peso mínimo 250 grs.);0,75 €;3,00 € / el kilo;0;https://www.gadisline.com/producto/?productID=7853050;https://www.gadisline.com/resources/images/7853050_F_001.jpg;02/11/2019 14:25:14
7853051;Lechuga roja unidad 1ª (peso mínimo250 grs.);0,69 €;2,76 € / el kilo;0;https://www.gadisline.com/producto/?productID=7853051;https://www.gadisline.com/resources/images/7853051_F_001.jpg;02/11/2019 14:25:14
7853040;Lechuga romana (peso mínimo 325 grs.) unidad;1,15 €;3,54 € / el kilo;0;https://www.gadisline.com/producto/?productID=7853040;https://www.gadisline.com/resources/images/7853040_F_001.jpg;02/11/2019 14:25:14
7853084;Lechuga snack DULZE 2 unidades bandeja 300 grs.;0,75 €;2,50 € / el kilo;0;https://www.gadisline.com/producto/?productID=7853084;https://www.gadisline.com/resources/images/7853084_F_001.jpg;02/11/2019 14:25:15
7883020;Remolacha cocida 2/3 piezas bolsa 500 grs.;0,79 €;1,58 € / el kilo;0;https://www.gadisline.com/producto/?productID=7883020;https://www.gadisline.com/resources/images/7883020_F_001.jpg;02/11/2019 14:25:15
7883098;Remolacha manojo peso mínimo 400 grs;1,50 €;3,75 € / el kilo;0;https://www.gadisline.com/producto/?productID=7883098;https://www.gadisline.com/resources/images/7883098_F_001.jpg;02/11/2019 14:25:15
